Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2516,Oats,2013,2013,1000 tonnes,13953.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2516,Oats,2013,2013,1000 tonnes,10127.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2516,Oats,2013,2013,1000 tonnes,1999.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2516,Oats,2013,2013,1000 tonnes,313.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5131,Processing,2516,Oats,2013,2013,1000 tonnes,0.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2516,Oats,2013,2013,1000 tonnes,7.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5142,Food,2516,Oats,2013,2013,1000 tonnes,1508.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2516,Oats,2013,2013,kg,2.03,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2516,Oats,2013,2013,kcal/capita/day,12.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2516,Oats,2013,2013,g/capita/day,0.5,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2516,Oats,2013,2013,g/capita/day,0.22,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2517,Millet and products,2013,2013,1000 tonnes,632.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2517,Millet and products,2013,2013,1000 tonnes,112.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2517,Millet and products,2013,2013,1000 tonnes,133.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2517,Millet and products,2013,2013,1000 tonnes,137.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5301,Domestic supply quantity,2517,Millet and products,2013,2013,1000 tonnes,740.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5521,Feed,2517,Millet and products,2013,2013,1000 tonnes,372.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
